Navn,Fodselar,Postnummer,Postaddressen,Epost,Fodselsnummer,Inntekt,Formue
"Henderson, Igor O.",1921,25296,739-1496 Sociis Road,dictum@necligulaconsectetuer.com,B3DA5934-32F1-89FB-D7FC-272A34A4009B,"57,350Kr","82,743Kr"
"Evans, Yetta N.",1902,68277,337-9959 Arcu Street,vel@euismodacfermentum.co.uk,728A63F7-3936-F9E0-3B3F-783DC3F82F79,"13,654Kr","50,145Kr"
"Lucas, Dale F.",1916,29381,7051 Nec Av.,leo.Morbi.neque@nequeNullam.co.uk,F92C65CF-8B62-C664-8A3E-76B42612D21C,"72,012Kr","10,369Kr"
"Trevino, Yetta S.",1955,21095,6349 Nonummy. Ave,amet@at.org,BB2FE810-6322-06B3-F050-0E4CEED621DE,"84,423Kr","65,588Kr"
"Mcintyre, Eugenia S.",1949,97829,805-4576 Fames Street,mi@ornarefacilisiseget.net,C99A760A-8D95-D705-7C4B-B5F0165E3ABF,"52,939Kr","02,049Kr"
"Neal, Clementine T.",1968,63259,636-7253 Mattis. Road,a.sollicitudin.orci@Uttinciduntorci.edu,5837E852-2115-6B11-565D-6D3C7EBDE403,"59,053Kr","41,789Kr"
"Rich, Arden Z.",1968,08809,Ap #349-5742 Elit. Rd.,neque@blanditNamnulla.edu,C0E3F91D-E11B-5B70-C6ED-51515E11CF28,"87,433Kr","18,806Kr"
"Deleon, Halee X.",1962,88599,Ap #770-3247 Inceptos Street,consequat.dolor@auctor.org,4A8A8AC5-9ED9-FA9A-7637-57B030754BD8,"52,654Kr","02,237Kr"
"Cooper, Arsenio U.",1902,92690,Ap #847-5521 Lorem Avenue,velit@sedpedenec.ca,369670BB-C842-E80E-8486-5C50AE4E9E7C,"99,331Kr","48,294Kr"
"Schroeder, Hiram U.",1910,95848,"147-2762 A, Road",eros.nec.tellus@hymenaeosMaurisut.ca,A9B47F21-DAE3-B1FC-07B7-4BC9C171EBB8,"87,816Kr","80,619Kr"
"Nichols, Fallon J.",1934,99268,3902 Eleifend. Street,Suspendisse@Donecelementumlorem.org,283C4436-3F1C-4791-D9F1-3C78BDAAB81E,"61,696Kr","55,625Kr"
"Montoya, Barbara W.",1959,87888,253-1724 Magna. St.,metus@Mauris.co.uk,EC7AA255-A64B-BE15-DD2A-BCB0EE3A079F,"72,378Kr","18,647Kr"
"Fitzgerald, Hamish W.",1923,92935,765-4313 Iaculis St.,magna@miac.com,5A5498FA-0894-A33E-37C9-F6A621BCAA00,"56,014Kr","86,902Kr"
"Stephenson, Nerea C.",1989,25971,531-3103 Aliquam Road,nunc.ac@consequat.co.uk,8C5BD078-A88F-EDDD-05CD-714D9957A762,"38,688Kr","55,731Kr"
"Fox, Ria P.",1968,36381,1583 Donec Ave,semper.rutrum@odiotristique.co.uk,F62CFB17-59D8-E96F-4B9A-9CF4C1DC92A8,"38,456Kr","87,711Kr"
"Cardenas, Aretha I.",1948,40809,Ap #842-9089 Sem Avenue,ut.eros.non@odiovel.edu,467084D2-77B0-4FAC-6BA7-A162E4E7D591,"78,272Kr","38,056Kr"
"Davidson, Naomi V.",1932,94741,"P.O. Box 517, 5575 Lorem. Ave",molestie.sodales@Ut.net,46F3BEA8-44A0-5C5A-CD73-F4F1C8AEBBB0,"67,120Kr","12,529Kr"
"Reilly, Nolan J.",1954,83810,2394 Aliquam Rd.,vestibulum@Suspendisse.net,0FC1B4CA-0760-9146-A2C7-5C5D9902AAFA,"04,281Kr","49,625Kr"
"Fuller, Idona T.",1994,50094,Ap #401-9796 Orci. Rd.,felis@quamCurabiturvel.net,90A3AA64-55FE-0B40-3403-B1C37C6F81C1,"47,851Kr","81,721Kr"
"Barry, Lucius P.",1907,70309,Ap #639-1730 Adipiscing St.,risus.Quisque.libero@cursus.ca,5EDCB3B3-4856-EA2F-5366-3B8E4BD3EFC4,"82,957Kr","11,685Kr"
"Dickson, Chester B.",1979,78121,6712 Nibh St.,Mauris@Etiamimperdietdictum.ca,142F9DCC-CC90-B314-0D22-25A524962204,"89,618Kr","87,295Kr"
"Eaton, Armand I.",1905,08884,Ap #990-8094 Curabitur Rd.,sed.sem.egestas@vulputateveliteu.edu,4756CFCF-1D38-0791-87E5-FDD9DA4A91BD,"91,357Kr","60,519Kr"
"Sykes, Garrett C.",1900,02185,2997 Ultricies Avenue,sagittis.felis.Donec@tortoratrisus.net,BBA49493-EAEB-3009-01D1-F6CD51DDDCA9,"17,454Kr","17,827Kr"
"Guzman, Constance K.",1962,43512,374-9890 Lectus Road,ligula@malesuadaaugueut.org,33394072-D2B5-7962-1BB4-0FA44A8A8F0C,"15,326Kr","00,216Kr"
"Hess, Raymond M.",1926,85102,8729 Faucibus Rd.,Proin.mi@tristiquepharetra.com,A5EEA874-065D-983F-D08E-0D68B42AD8E8,"85,505Kr","84,859Kr"
"Hodge, Luke G.",1932,87331,Ap #462-8753 Euismod Av.,tempor.bibendum@egestasurna.org,4C0F02AE-B868-5D0A-BC00-E4E8AC013697,"85,241Kr","31,408Kr"
"Gardner, Berk G.",1976,01465,133-6144 Ac Avenue,varius@pellentesqueSeddictum.net,E049C4BF-B57E-EE2B-F438-D4834151C7DB,"36,235Kr","76,601Kr"
"Powers, Summer J.",1936,02036,Ap #254-267 Duis Street,tortor.nibh@netus.org,799CBEE7-5B3C-D803-944E-F538730F714F,"20,013Kr","39,638Kr"
"Harris, Rogan H.",1975,68130,Ap #995-3901 Vivamus St.,arcu@elementumategestas.com,04C77D7F-ECE9-AAF6-4C8A-D8D5837CE80E,"12,657Kr","69,611Kr"
"Wall, Stone Q.",1960,82561,1035 Est Street,diam.dictum.sapien@eudoloregestas.net,BB913C80-B009-DDF1-8D50-782B54672A4D,"72,178Kr","5,011Kr"
"French, Kyla E.",1965,46357,Ap #992-4846 Enim Road,pede@Donecestmauris.com,550B963C-07A6-5900-0B69-66F067134389,"33,594Kr","79,315Kr"
"Wolfe, Amethyst H.",1992,59095,"P.O. Box 514, 3395 Pellentesque Street",non@milaciniamattis.ca,2C983AC7-E517-E69D-E8ED-2424C88E4476,"54,209Kr","46,149Kr"
"Wooten, Marny S.",1968,77618,"P.O. Box 710, 9161 Orci. St.",dolor@etarcuimperdiet.org,13ADB3CF-7369-45D0-2994-6A5A54C90DF2,"43,847Kr","89,827Kr"
"Hebert, Jennifer E.",1979,76300,771-3081 Lectus Street,velit.dui@pedeetrisus.net,937E7378-17A1-1ACF-6746-82BFE094E707,"54,531Kr","27,898Kr"
"Bass, Deanna U.",1969,96733,6688 Volutpat. Rd.,augue.ut@montes.net,AD8AC830-7A0E-5858-4330-98E1897EB2B6,"42,687Kr","77,311Kr"
"Coffey, Basil I.",1974,28298,543-7864 Enim. Street,tincidunt.Donec.vitae@Vestibulumanteipsum.org,8A603EFF-1B61-F6EB-ABF9-91E09AB5A6A2,"53,252Kr","12,166Kr"
"Dillon, Lacey N.",1901,12186,"P.O. Box 230, 4941 Ultrices Ave",nibh.Phasellus.nulla@Nullatincidunt.org,8481F369-91CB-3F03-144E-F8A1B2E99402,"62,818Kr","18,985Kr"
"Jenkins, Wade N.",1973,61379,986 Mollis. Avenue,lacus@Inornare.co.uk,6087BB54-5957-3EBB-A5D0-2C2193489C60,"05,694Kr","60,520Kr"
"Davenport, Kiona U.",1963,88941,"P.O. Box 210, 3508 Dictum Rd.",est.ac.mattis@tristique.ca,FEC9201C-D8CA-7422-1F18-2822A7E2ABCA,"19,533Kr","94,112Kr"
"Welch, Merrill C.",1957,35483,Ap #302-4858 Pellentesque Road,turpis.Aliquam.adipiscing@augueac.com,258CD6F8-2C2C-459E-B259-76F196CD0F22,"31,715Kr","83,188Kr"
"Irwin, Amal K.",1909,96267,"P.O. Box 630, 8874 Magna. Avenue",In.tincidunt.congue@adipiscing.com,9643D00D-03F4-DF6F-D038-C38ED6B892C3,"00,338Kr","85,982Kr"
"Walls, Joshua F.",1908,52172,"P.O. Box 824, 5738 Lacus. Rd.",pede@pretiumetrutrum.ca,017E8361-635F-3D65-5961-DDA0A3070A00,"03,287Kr","31,803Kr"
"Levy, Emerson K.",1968,33157,Ap #530-1164 Aliquam Av.,metus.In.nec@Vivamusnibh.co.uk,59EFDF6D-97E5-ED9A-3ECC-9D925A063F58,"49,052Kr","57,512Kr"
"Mason, Rowan I.",1927,92831,"P.O. Box 822, 9781 Diam Street",dignissim@quisdiamPellentesque.org,9A7F4868-8B11-0985-8C3F-F740445F0659,"85,454Kr","01,362Kr"
"Guerra, Madaline Q.",1933,98879,"Ap #525-895 Ac, Ave",per@eget.com,C5409909-F520-2C58-B256-1529C3B18B55,"01,493Kr","90,764Kr"
"Copeland, Daphne K.",1922,31273,"P.O. Box 615, 4238 Sem, Avenue",vitae.velit.egestas@placerataugueSed.net,167EA2F3-D58E-EE82-4B60-1AF3351F25C4,"60,852Kr","92,360Kr"
"Prince, Alea E.",1936,16251,"P.O. Box 723, 6149 Eu Road",Cras.sed@faucibus.ca,A6BECCDF-1A3D-E644-9D81-0A82528C3F4D,"15,533Kr","34,464Kr"
"Love, Darryl V.",1978,51923,420 Dolor St.,ligula.Aliquam@CurabiturmassaVestibulum.ca,F911F39B-6904-F001-D93C-D89F496A8427,"94,386Kr","30,419Kr"
"Smith, Zachery E.",1946,15975,Ap #295-7996 Ac Ave,In.lorem@sollicitudin.net,9EAD8180-5B83-F017-3A5E-489EC6696B4F,"22,330Kr","13,565Kr"
"Odom, Nevada C.",1905,42417,"7520 Placerat, St.",posuere.enim@mifelis.co.uk,A7884FFE-5B25-5238-39BA-B74D30637521,"93,679Kr","06,938Kr"
"Travis, Daniel Y.",1961,69031,611-2422 Viverra. Ave,id.ante@necurnasuscipit.co.uk,68CA93E0-8126-CD86-876E-AC905D98CD73,"07,114Kr","37,093Kr"
"Bender, Abra Z.",1941,80991,"P.O. Box 871, 1370 Nullam Ave",Aliquam.rutrum@elementumdui.edu,500BEA4B-7BEC-FDB6-AB59-EB4F968FF0F5,"24,679Kr","97,985Kr"
"Cabrera, Dustin S.",1961,36006,"670-4569 Et, St.",dapibus@Curabiturvellectus.com,8F425D15-D0AE-0BEB-09C1-2A2A49BB66FF,"79,829Kr","00,460Kr"
"Mccarty, Pascale F.",1911,20926,834-9954 Curabitur Street,Proin.velit@felispurusac.ca,7A3C4E7B-57AB-BC6D-06D4-0B9689CF548C,"50,702Kr","52,217Kr"
"Sherman, Bruce G.",1922,56126,"P.O. Box 599, 256 Mollis Avenue",magnis.dis.parturient@nonummyFusce.com,E2B1302F-A4C2-884C-1FE5-904A94A1DE6B,"44,533Kr","49,947Kr"
"Burt, Riley Y.",1913,02830,Ap #380-6276 Aliquam Av.,id.risus.quis@mollisPhasellus.co.uk,94829346-1B22-D06F-0AD5-BD252C06514F,"35,725Kr","32,436Kr"
"Bauer, Herman R.",1901,43115,"Ap #752-9873 Enim, Avenue",neque.vitae@vulputaterisusa.edu,A07CD733-872E-44D4-A36C-CBC56CED9CF4,"48,300Kr","95,481Kr"
"Graves, Ryan H.",1982,28379,"P.O. Box 237, 2797 Nisl Avenue",turpis.Nulla.aliquet@IncondimentumDonec.com,688D46AE-3A20-03BE-7942-992DB7B12748,"42,977Kr","12,004Kr"
"Cooke, Charlotte H.",1923,01463,"Ap #300-5790 Et, Ave",nonummy@faucibusorciluctus.org,6632DE3F-6875-5DA9-ED18-393CCCD9A0F1,"66,046Kr","72,428Kr"
"Talley, Felicia F.",1910,42497,Ap #539-9821 Et Road,nunc.sed@nec.ca,A347010B-20C9-3FE5-62D6-DBC72BF8CF07,"41,494Kr","48,217Kr"
"Mullins, Dana O.",1940,99596,Ap #162-5850 Nulla Street,lobortis@liberoInteger.edu,1284E7CB-6D29-20D9-0C20-65306D0937B5,"07,591Kr","21,870Kr"
"Mcdaniel, Maite E.",1968,42124,Ap #640-179 Semper Road,risus.Morbi@blandit.net,8BDE8E8C-5320-7C92-4E58-51FDBF502DDA,"66,495Kr","24,159Kr"
"Saunders, Dennis H.",1948,19831,4641 Nulla Av.,vitae.mauris.sit@sociisnatoque.net,A6B81BD2-EBF8-5928-148F-AAD7947CAC84,"48,452Kr","61,089Kr"
"Terrell, Jordan T.",1995,64843,5993 Adipiscing Av.,metus.In@nibhPhasellusnulla.edu,88EF126E-D261-5AFA-AA18-17FE7938729F,"08,864Kr","64,691Kr"
"Patel, Brett Y.",1965,26540,Ap #609-4524 Eu Av.,adipiscing.lobortis@liberoMorbi.com,FE27760E-89D3-1BFC-0947-AE457BBA49F4,"36,168Kr","47,827Kr"
"Kirkland, Raphael B.",1951,78036,306-1967 Risus. Road,ipsum.ac@acfeugiat.org,53CDF783-1788-9371-E533-F7A6BDE84DFA,"97,057Kr","10,850Kr"
"Osborne, Keane S.",1926,03348,"P.O. Box 477, 1899 Velit St.",blandit.congue.In@velvulputate.net,DD29A01F-E19F-E102-2589-17A2ED1A3451,"04,570Kr","43,077Kr"
"Morgan, Phoebe P.",1954,86492,460-9919 Turpis. Av.,vel.quam@sapienAenean.co.uk,0CFEA18D-5EF6-6A2F-7C66-1D37330EC2CC,"45,179Kr","41,899Kr"
"Baird, Phillip C.",1979,14104,"P.O. Box 731, 4251 Eros Road",et.rutrum@sedtortorInteger.ca,A31D71C3-49F3-59C2-C44C-BE3C9A6186A2,"58,295Kr","76,999Kr"
"Santiago, Orson T.",1981,83132,"1131 A, Ave",Aenean.eget.magna@idante.org,00BDA54B-DB60-5207-0EC1-4060E8E9E00F,"73,716Kr","44,394Kr"
"Finley, Devin D.",1909,04978,"P.O. Box 162, 5750 Aliquam St.",elit@fringilla.com,584402EF-2EE4-AB0C-C8B9-6BB6C46C980F,"93,997Kr","43,535Kr"
"Ford, Alice I.",1938,10509,Ap #932-4924 Risus Ave,vel.arcu@Fusce.net,FB3B098A-28A3-CE52-16C2-6AE0967098D8,"28,535Kr","29,605Kr"
"Bray, Dai X.",1962,89835,443-3055 Cras St.,fermentum.risus@egestas.com,BA340B4A-4138-27DC-4D9A-69CEF07C13FD,"75,784Kr","28,461Kr"
"Cabrera, Jamal L.",1992,35247,"P.O. Box 696, 4167 Dui, Rd.",ornare.sagittis@idantedictum.co.uk,9EC9F461-76E5-A049-6DDE-998C4E5CE8A8,"36,482Kr","21,348Kr"
"Hanson, Brent K.",1969,55294,869-1559 Cursus Rd.,lectus.Cum.sociis@sempertellusid.com,940E36A1-E5A5-CCC8-45B3-C4C42E2DEE18,"9,480Kr","41,713Kr"
"Summers, Dalton X.",1949,05431,6010 Tellus St.,posuere.cubilia@Nullamvelitdui.org,BA40C32A-11B9-4DFB-503C-5597421817FD,"57,747Kr","10,960Kr"
"Stewart, MacKenzie D.",1940,05512,"P.O. Box 210, 1813 Nam Rd.",ut.cursus@sociosquad.ca,BD000181-98FA-BD92-E2A1-6D98FC01249D,"87,300Kr","93,526Kr"
"Cantrell, Paloma A.",1970,42392,"P.O. Box 620, 8096 Auctor, Rd.",congue.turpis.In@necenim.edu,4AB47B59-0F72-9544-B79A-B94C21CE9E0E,"37,275Kr","81,711Kr"
"York, Amanda W.",1943,45440,869-3006 Quis Avenue,Morbi@nisinibhlacinia.edu,8FDB199A-7A80-6A1D-2A59-BE90CD12CD34,"33,146Kr","41,755Kr"
"Dotson, Kane O.",1963,64120,Ap #359-5484 Dui Ave,leo.Vivamus.nibh@nonbibendumsed.ca,CFA9DCB9-9EE6-EE39-8BCC-CF774053EBDA,"28,759Kr","04,312Kr"
"Crosby, Moana Q.",1928,91881,"P.O. Box 563, 3855 Morbi Av.",molestie.Sed@gravida.edu,1C76DC9B-8664-FAD3-9016-2632E9B2B03D,"84,917Kr","09,362Kr"
"Rocha, Ori Y.",1946,73027,215-4109 Adipiscing. St.,blandit.enim.consequat@atvelit.com,E87D22FD-23BF-DE95-BF5E-AA1FC8EF044F,"14,196Kr","31,099Kr"
"Suarez, Nadine S.",1985,78094,"696-1923 Mauris, Av.",facilisis@purussapien.com,313F92EA-6293-E63C-20E2-7EFE92F3BF7E,"17,729Kr","73,909Kr"
"Ware, Tana C.",1981,83299,749-7241 Proin Avenue,arcu.Vestibulum@faucibusid.com,8912C157-1C53-73E4-0490-41F9DA184BCD,"68,214Kr","17,790Kr"
"Petersen, Regina T.",1994,25009,"P.O. Box 296, 8011 Adipiscing. Rd.",et@utpellentesque.net,7365E7E2-3AF8-8E98-3293-1EB3186AEA66,"74,171Kr","56,621Kr"
"Wood, Samuel G.",1926,59429,6492 Rutrum Av.,a@adipiscingfringillaporttitor.com,DDF1F889-62FD-0C8C-02B8-6A93838807DE,"66,502Kr","55,400Kr"
"Underwood, Kiara E.",1933,48768,Ap #252-5267 At Ave,Donec.sollicitudin@in.net,ECE7F70F-EDE3-AE60-53C0-06B9944E87A7,"99,117Kr","49,104Kr"
"Peters, Lance V.",1994,91870,5164 Interdum Road,ridiculus.mus@duinecurna.org,CA1635A2-E2C5-5448-43B2-FC45CCC18F74,"86,520Kr","15,311Kr"
"Carpenter, Maggie Z.",1990,39857,"P.O. Box 540, 4273 Eu, Av.",Donec@egestas.ca,FBFB8BD0-B455-D13C-72A0-EDEE54307BA6,"65,756Kr","98,887Kr"
"Heath, Paloma P.",1934,90023,671-9568 Vel St.,mi.fringilla.mi@vulputatelacus.net,7D9D2CD9-880F-22E7-2F96-508CA8B71A29,"56,061Kr","68,000Kr"
"Alston, Jonas X.",1952,21072,"924-3944 Purus, Avenue",cursus.purus@Morbiaccumsanlaoreet.com,07FAFA21-44AC-0158-5891-C9F185955785,"45,885Kr","02,901Kr"
"Patrick, Jessica H.",1913,10446,Ap #608-9897 Turpis. Road,fringilla@Maurisblandit.co.uk,32FB891D-1A30-23F4-5FBC-AE367379CA7F,"06,076Kr","78,732Kr"
"Duffy, Hoyt D.",1907,81143,Ap #282-8532 Mollis. Rd.,a.aliquet.vel@orciUt.net,7E3F1A8E-40E1-8969-68CD-E0673466D134,"37,300Kr","23,750Kr"
"Fernandez, Daquan W.",1908,80388,868-9709 In Road,varius.Nam.porttitor@lobortisnisinibh.com,C1B05263-4974-0C61-8676-5FCCDBA38674,"18,729Kr","54,842Kr"
"Bonner, Victoria H.",1938,60625,438-4237 Integer Street,elit.fermentum.risus@sapienmolestieorci.edu,E0FBC9E4-F697-AD50-86BD-FA24092D77F5,"00,972Kr","18,832Kr"
"Nunez, Hillary H.",1953,06542,"P.O. Box 435, 1304 Pede St.",eu.placerat@ametorciUt.net,8A09326B-9611-526E-2079-37A5DCFA9761,"86,826Kr","74,832Kr"
"Meyers, Ariel M.",1955,19250,"P.O. Box 769, 8006 Ipsum. Av.",consectetuer.adipiscing@Curabitur.edu,B859453E-CA0D-0B29-C1D5-2235E0BA49B0,"51,795Kr","70,133Kr"
"Hewitt, Rachel P.",1938,83143,"P.O. Box 260, 1530 Metus Rd.",sit.amet.massa@urnasuscipitnonummy.org,16DF78AB-25B4-65CC-32FB-804926875BF7,"43,083Kr","35,258Kr"
"Robertson, Felicia F.",1928,03430,527-5682 Tincidunt Ave,in.lobortis@auctorquis.edu,89BB0435-F2D2-E3C3-41AA-2579D0378991,"29,741Kr","31,121Kr"
"Bernard, Dara U.",1954,95514,Ap #514-2564 Aliquet St.,nunc.sed.libero@lobortistellusjusto.net,40410789-11A4-6770-6188-7482BC14BAFF,"42,939Kr","86,115Kr"
"Nieves, Drake H.",1969,63770,592-1875 Morbi St.,pretium.aliquet.metus@augueutlacus.edu,FF3BC4F7-FF7A-387E-2CBD-DC04532FF80F,"15,171Kr","14,467Kr"
"Orr, Brenna C.",1954,67562,Ap #682-7483 Aliquam Av.,Sed.auctor.odio@dignissimpharetra.com,4C99FB8E-49DD-D816-3EFC-12ADC5A4D681,"20,842Kr","67,198Kr"
"Frye, Ryan A.",1981,20188,157-1353 Mauris. Ave,Nunc.sollicitudin@Mauris.edu,30D06844-ED50-F02D-42F1-1EC7FF1F08F4,"57,780Kr","25,401Kr"
"Boyle, Tanisha E.",1933,62246,Ap #522-3076 Duis Rd.,dis@enim.net,3F33E42E-D127-F874-2C89-6D12563FA5BE,"58,161Kr","68,073Kr"
"Stevens, Miranda R.",1919,21032,9700 Sed Street,ac.mattis@enimSuspendissealiquet.ca,20A55085-AD09-2EA5-1E72-4CA999275508,"35,810Kr","49,312Kr"
"Buckner, Jonah C.",1967,49329,6139 Fusce Rd.,libero.Proin.mi@pharetranibh.edu,C0C59681-CD24-2D2D-89CE-DCD59729F6BC,"99,795Kr","67,214Kr"
"Schroeder, Bryar U.",1985,62643,"P.O. Box 205, 4386 Feugiat Rd.",ultrices.Vivamus.rhoncus@Donec.ca,F8E90030-6ECE-6E04-83FF-9E9D009B4343,"05,997Kr","64,171Kr"
"Case, Jenna H.",1913,07595,551-6078 Sagittis Street,cubilia.Curae.Donec@interdumNunc.org,68269B2D-F60B-8E7A-E44D-DB243B3F425B,"97,725Kr","26,811Kr"
"Barr, Daniel S.",1919,21161,"P.O. Box 420, 8912 Eros. St.",tellus.Phasellus.elit@a.org,EEB1AE1F-16AC-ED01-123C-51067E51028E,"28,744Kr","67,306Kr"
"Keller, Gray O.",1915,16253,"P.O. Box 150, 5218 Sed Road",urna@Crasconvallisconvallis.ca,D0F5E56F-7EE8-2E35-0E99-3905A88D4962,"14,417Kr","15,471Kr"
"Bruce, William U.",1965,85183,"874-3461 Quis, St.",blandit.congue@ametconsectetueradipiscing.co.uk,70419DFE-6510-B896-7184-724C0A3C82B0,"08,746Kr","14,026Kr"
"Cruz, Amery L.",1974,06147,813-5210 Sed St.,risus.a.ultricies@lobortis.org,3523F5F8-8B8B-AA86-B391-FD349B08C1DF,"96,031Kr","74,031Kr"
"Joyner, Ira Y.",1939,29994,"P.O. Box 319, 9763 Orci, Rd.",tempus.scelerisque.lorem@lectuspede.org,61B0DC89-E695-7CCD-0BDE-3875C7130FB7,"46,074Kr","04,357Kr"
"Gilliam, Katell J.",1923,05141,3182 Natoque Av.,fermentum.vel.mauris@hendrerit.co.uk,4159DCA1-DAC4-C3CB-7C49-362157D4862C,"30,147Kr","15,380Kr"
"Ross, Iola A.",1929,04172,228-2183 Est. Rd.,ornare.tortor.at@Nuncmauris.edu,EB33208A-7B7F-3C58-CDA8-10093381B139,"86,210Kr","06,542Kr"
"Chapman, Caryn M.",1947,36901,2965 Nunc Street,ac.nulla.In@massa.com,374CA74C-26FC-3683-EDEE-E0D2F1EA35E6,"07,723Kr","72,831Kr"
"Morales, Ayanna M.",1962,42882,Ap #215-3219 Rutrum St.,libero.dui@tempus.co.uk,44036FE9-4D01-F39A-AD77-009B2E522C06,"04,001Kr","95,721Kr"
"Taylor, Tatiana I.",1902,51331,979-9803 Semper Road,a.mi.fringilla@sagittislobortis.co.uk,709AFEC1-BD7C-E14F-A640-8A5DA5D7C544,"30,519Kr","22,351Kr"
"Reynolds, Travis Q.",1977,64558,5904 Ultrices Rd.,eget.magna@pretiumnequeMorbi.net,86050637-28C7-FB54-70A0-98508E73E3D6,"04,601Kr","49,398Kr"
"Webster, Maris I.",1929,91458,Ap #354-7436 Non Rd.,enim@orciDonec.co.uk,F6F756A3-A893-75DC-5F4E-D356717C89B7,"07,592Kr","71,604Kr"
"Acevedo, Jonah K.",1907,65711,"824-4303 Nunc, Rd.",ipsum.Suspendisse.sagittis@IncondimentumDonec.ca,E106283A-1E21-816A-BF5E-15991F6EA279,"11,284Kr","39,303Kr"
"Workman, Felix Z.",1995,20012,647-3391 In Ave,cursus@adipiscingfringillaporttitor.ca,08327A02-D7C0-FC7F-F812-B4D0D206DF1D,"97,080Kr","43,919Kr"
"Olson, Deborah U.",1994,91849,Ap #368-4234 Fringilla Rd.,mauris.a.nunc@aliquamiaculis.ca,BA89D90A-8180-68F6-8130-017B5D7254B1,"62,682Kr","39,758Kr"
"Wooten, Jonas R.",1978,74389,Ap #398-6515 Diam. Street,luctus@sedorcilobortis.org,E7345B7B-F3CF-77B4-3290-2F3B5EBCCC4B,"01,160Kr","85,886Kr"
"Duke, Chadwick H.",1917,43161,Ap #848-3702 Cras St.,urna.et.arcu@Donecelementumlorem.com,F1E4FA0B-646B-C66F-EC28-E4A81061F34F,"67,777Kr","89,720Kr"
"Monroe, Althea D.",1978,30264,"3777 In, Road",lacinia.Sed@justo.com,0CE9EFFF-E24E-772C-47C8-13871EED0610,"93,415Kr","69,175Kr"
"Nguyen, Dante E.",1994,51974,9758 Sem. Street,consequat.purus.Maecenas@idnunc.net,8F3001ED-15F2-9FCB-F6DE-24B62A65220A,"39,555Kr","44,933Kr"
"Serrano, Kyla S.",1932,50499,3880 Lectus. Rd.,Integer@sedorcilobortis.co.uk,E58573BC-5ED0-01B3-643D-237A3DD29EF8,"07,146Kr","14,998Kr"
"Castro, Kalia P.",1977,55143,"904-6452 Pede, Rd.",non.enim.Mauris@magnaatortor.com,12F4FD68-C61F-FEBC-73FE-825F0FD3D88E,"27,648Kr","92,640Kr"
"Bernard, Hunter E.",1933,51192,"P.O. Box 795, 6940 Nam Avenue",leo.Morbi@apurus.ca,CC8DC509-D987-1A16-3382-79196C2579E3,"68,875Kr","44,148Kr"
"Foley, Justin L.",1971,17562,1124 Elementum Ave,cursus@neque.com,C575B371-A1FE-76FA-216B-CAC89DAB261F,"27,867Kr","93,095Kr"
"Woods, Ayanna D.",1971,75484,3142 Ridiculus Road,Fusce@velarcu.net,218AB556-8B78-60CD-B962-7E7DCCED3595,"67,010Kr","53,739Kr"
"Morrison, Rhoda I.",1943,35000,"P.O. Box 400, 3398 Nisl. Rd.",nec.ante.Maecenas@euismodindolor.org,97454237-7CDE-DD04-2A52-BDAC2F91A984,"22,199Kr","22,896Kr"
"Mercado, Cailin C.",1992,88456,499-7509 Feugiat Road,a.neque@mauris.net,E6815130-AB4B-8E17-CEE5-85C0C89DA598,"81,382Kr","16,517Kr"
"Franks, Shad M.",1925,80953,780-5288 Donec St.,Suspendisse@estvitae.com,C438DC67-2FFE-29F6-615F-70FCC8E6F5AC,"89,165Kr","15,551Kr"
"Harris, Fatima D.",1962,69869,Ap #738-2167 Ipsum Av.,mollis.dui.in@miac.com,9E157FC6-563F-486E-35CE-47BD3EDF7C30,"91,101Kr","82,745Kr"
"Dominguez, Reese E.",1926,15667,997-8329 Mauris Avenue,auctor.quis@disparturient.net,1084E535-176C-CCE1-F7A9-338735E9E34F,"91,261Kr","26,828Kr"
"Rocha, Phyllis T.",1912,45299,8880 Laoreet Ave,congue.In.scelerisque@fringillaeuismod.org,8CDF03E9-21E1-6B58-DD10-C009CE684FEC,"16,676Kr","92,046Kr"
"Blevins, Lane K.",1991,63072,5632 Semper St.,Nulla.semper.tellus@elita.net,3EDCBC33-022D-EE99-D4FE-13142AFE1DB4,"10,265Kr","20,173Kr"
"Waller, Castor H.",1933,26347,Ap #864-9307 Faucibus Street,enim.Suspendisse@arcuCurabiturut.com,19843825-5E90-7B7C-F136-E6C84A0697AA,"74,122Kr","46,476Kr"
"Sloan, Dexter J.",1965,16092,5230 Senectus Rd.,quis@magnased.org,7E202D19-6941-A60F-1192-1D39CBDB542D,"16,373Kr","17,089Kr"
"Browning, Briar P.",1908,99452,Ap #630-1233 Hendrerit. St.,neque.Morbi.quis@massaVestibulumaccumsan.net,8165D312-83FB-7D18-C104-597F39CE4ABC,"08,945Kr","93,530Kr"
"Abbott, Nayda J.",1934,17837,Ap #769-3643 Consectetuer Av.,a@auguemalesuada.edu,F0229E1D-9D96-FBF4-EB34-7D1F9636DC8D,"51,357Kr","46,643Kr"
"Carson, Chelsea V.",1958,02298,Ap #624-1592 Magna. Av.,eget.ipsum@ultricesposuere.net,2CBB3F21-CBE8-6EF0-F23E-FCB96E0B3C76,"44,333Kr","17,070Kr"
"Tyler, Gail B.",1914,38907,Ap #459-4217 Quis Road,eget.nisi@felispurus.ca,731D1285-E0B8-3E55-2333-FB99103AAB31,"18,994Kr","32,585Kr"
